Nominess,Birth Country
"Julius J. Epstein, Lenore Coffee","['USA', 'USA']"
"George Bernard Shaw, W. P. Lipscomb, Cecil Lewis, Ian Dalrymple","['Ireland', 'UK', 'UK', 'South Africa']"
Laurence Olivier,['UK']
Mickey Rooney,['USA']
James Stewart,['USA']
Brian Aherne,['UK']
Harry Carey,['USA']
Brian Donlevy,['UK']
Claude Rains,['UK']
Greer Garson,['UK']
Vivien Leigh,['India']
Olivia de Havilland,['Japan']
Geraldine Fitzgerald,['Ireland']
Hattie McDaniel,['USA']
Edna May Oliver,['USA']
Victor Fleming,['USA']
Sam Wood,['USA']
Felix Jackson,['Germany']
"Mildred Cram, Leo McCarey","['USA', 'USA']"
Lewis R. Foster,['USA']
Melchior Lengyel,['Hungary']
Lamar Trotti,['USA']
"R. C. Sherriff, Claudine West, Eric Maschwitz","['UK', 'UK', 'UK']"
Sidney Buchman,['USA']
"Charles Brackett, Billy Wilder, Walter Reisch","['USA', 'Austria-Hungary', 'Austria']"
"Charles MacArthur, Ben Hecht","['USA', 'USA']"
Charles Chaplin,['UK']
Henry Fonda,['USA']
Raymond Massey,['Canada']
Albert Basserman,['Germany']
William Gargan,['USA']
Jack Oakie,['USA']
James Stephenson,['USA']
Joan Fontaine,['Japan']
Ginger Rogers,['USA']
Martha Scott,['USA']
Judith Anderson,['Australia']
Jane Darwell,['USA']
Ruth Hussey,['USA']
Barbara O'Neil,['USA']
Marjorie Rambeau,['USA']
Alfred Hitchcock,['UK']
"Benjamin Glazer, John S. Toldy","['UK', 'Hungary']"
Walter Reisch,['Austria']
"Dore Schary, Hugo Butler","['USA', 'Canada']"
"Bella Spewack, Samuel Spewack, Leo McCarey","['Romania', 'Russian Empire', 'USA']"
Stuart N. Lake,['USA']
Nunnally Johnson,['USA']
Dalton Trumbo,['USA']
Donald Ogden Stewart,['USA']
"Robert E. Sherwood, Joan Harrison","['USA', 'UK']"
Cary Grant,['UK']
Orson Welles,['USA']
Charles Coburn,['USA']
Donald Crisp,['UK']
James Gleason,['USA']
Sydney Greenstreet,['UK']
Sara Allgood,['Republic of Ireland']
Mary Astor,['USA']
Patricia Collinge,['Ireland']
Teresa Wright,['USA']
Margaret Wycherly,['UK']
Alexander Hall,['USA']
Howard Hawks,['USA']
"Billy Wilder, Thomas Monroe","['Austria-Hungary', 'USA']"
Harry Segall,['USA']
Monckton Hoffe,['UK']
"Richard Connell, Robert Presnell","['USA', 'USA']"
Gordon Wellesley,['Australia']
"Sidney Buchman, Seton I. Miller","['USA', 'USA']"
"Charles Brackett, Billy Wilder","['USA', 'Austria-Hungary']"
Philip Dunne,['USA']
Lillian Hellman,['USA']
John Huston,['USA']
Walter Pidgeon,['Canada']
Monty Woolley,['USA']
William Bendix,['USA']
Van Heflin,['USA']
Henry Travers,['UK']
Rosalind Russell,['USA']
Gladys Cooper,['UK']
Agnes Moorehead,['USA']
Susan Peters,['USA']
Mervyn LeRoy,['USA']
John Farrow,['Australia']
Emeric Pressburger,['Hungary']
Paul Gallico,['USA']
Sidney Harmon,['USA']
Robert Buckner,['USA']
"Rodney Ackland, Emeric Pressburger","['UK', 'Hungary']"
"Arthur Wimperis, George Froeschel, James Hilton, Claudine West","['UK', 'Austria', 'UK', 'UK']"
"Jo Swerling, Herman J. Mankiewicz","['Ukraine', 'USA']"
"Claudine West, George Froeschel, Arthur Wimperis","['UK', 'Austria', 'UK']"
"Irwin Shaw, Sidney Buchman","['USA', 'USA']"
Humphrey Bogart,['USA']
Paul Lukas,['Hungary']
Charles Bickford,['USA']
J. Carrol Naish,['USA']
Jean Arthur,['USA']
Ingrid Bergman,['Sweden']
Jennifer Jones,['USA']
Paulette Goddard,['USA']
Katina Paxinou,['Greece']
Anne Revere,['USA']
Lucile Watson,['Canada']
George Stevens,['USA']
Henry King,['USA']
Guy Gilpatric,['USA']
Steve Fisher,['USA']
William Saroyan,['USA']
"Robert Russell, Frank Ross","['UK', 'USA']"
Gordon McDonell,['UK']
"Julius J. Epstein, Philip G. Epstein, Howard Koch","['USA', 'USA', 'USA']"
"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster","['UK', 'USA', 'USA', 'USA']"
George Seaton,['USA']
Dashiell Hammett,['USA']
Bing Crosby,['USA']
Barry Fitzgerald,['Ireland']
Alexander Knox,['Canada']
Hume Cronyn,['Canada']
Clifton Webb,['USA']
Ethel Barrymore,['USA']
Angela Lansbury,['UK']
Aline MacMahon,['USA']
Billy Wilder,['Austria-Hungary']
Otto Preminger,['Austria-Hungary']
"Chandler Sprague, David Boehm","['USA', 'USA']"
John Steinbeck,['USA']
"Alfred Neumann, Joseph Than","['Poland', 'Austria-Hungary']"
"Edward Doherty, Jules Schermer","['Canada', 'USA']"
"Billy Wilder, Raymond Chandler","['Austria-Hungary', 'USA']"
"John Van Druten, Walter Reisch, John L. Balderston","['UK', 'Austria', 'USA']"
"Frank Butler, Frank Cavett","['UK', 'USA']"
"Jay Dratler, Samuel Hoffenstein, Betty Reinhardt","['USA', 'Russia', 'USA']"
"Irving Brecher, Fred F. Finklehoffe","['USA', 'USA']"
Gene Kelly,['USA']
Ray Milland,['UK']
Gregory Peck,['USA']
Cornel Wilde,['Hungary']
Michael Chekhov,['Russian Empire']
John Dall,['USA']
James Dunn,['USA']
Robert Mitchum,['USA']
Joan Crawford,['USA']
Gene Tierney,['USA']
Eve Arden,['USA']
Ann Blyth,['USA']
Joan Lorring,['China']
Jean Renoir,['France']
"Thomas Monroe, Laszlo Gorog","['USA', 'Hungary']"
Charles G. Booth,['UK']
"John Steinbeck, Jack Wagner","['USA', 'USA']"
Alvah Bessie,['USA']
Ernst Marischka,['Austria']
"Leopold Atlas, Guy Endore, Philip Stevenson","['USA', 'USA', 'USA']"
Ranald MacDougall,['USA']
Albert Maltz,['USA']
"Tess Slesinger, Frank Davis","['USA', 'USA']"
Larry Parks,['USA']
William Demarest,['USA']
Harold Russell,['Canada']
Celia Johnson,['UK']
Jane Wyman,['USA']
Anne Baxter,['USA']
Lillian Gish,['USA']
Flora Robson,['UK']
David Lean,['UK']
Robert Siodmak,['Germany']
Vladimir Pozner,['France']
Jack Patrick,['USA']
