Nominess,Birth Country
Ring Lardner Jr.,['USA']
Larry Kramer,['USA']
Peter Finch,['UK']
Topol,['UK']
Jeff Bridges,['USA']
Leonard Frey,['USA']
Richard Jaeckel,['USA']
Ben Johnson,['USA']
Roy Scheider,['USA']
Janet Suzman,['South Africa']
Ann-Margret,['Sweden']
Ellen Burstyn,['USA']
Barbara Harris,['USA']
Cloris Leachman,['USA']
Margaret Leighton,['UK']
William Friedkin,['USA']
Peter Bogdanovich,['USA']
Bernardo Bertolucci,['Italy']
Ernest Tidyman,['USA']
"Ugo Pirro, Vittorio Bonicelli","['Italy', 'Italy']"
"Larry McMurtry, Peter Bogdanovich","['USA', 'USA']"
Paul Winfield,['USA']
James Caan,['USA']
Robert Duvall,['USA']
Joel Grey,['USA']
Al Pacino,['USA']
Diana Ross,['USA']
Cicely Tyson,['USA']
Liv Ullmann,['Japan']
Jeannie Berlin,['USA']
Susan Tyrrell,['USA']
Bob Fosse,['USA']
John Boorman,['UK']
Jan Troell,['Sweden']
Francis Ford Coppola,['USA']
Jay Allen,['USA']
"Jan Troell, Bengt Forslund","['Sweden', 'Sweden']"
"Mario Puzo, Francis Ford Coppola","['USA', 'USA']"
Julius J. Epstein,['USA']
Lonne Elder III,['USA']
Robert Redford,['USA']
Vincent Gardenia,['Italy']
Jack Gilford,['USA']
John Houseman,['Romania']
Jason Miller,['USA']
Randy Quaid,['USA']
Marsha Mason,['USA']
Linda Blair,['USA']
Candy Clark,['USA']
Madeline Kahn,['USA']
Tatum O'Neal,['USA']
Sylvia Sidney,['USA']
George Lucas,['USA']
Ingmar Bergman,['Sweden']
William Peter Blatty,['USA']
Robert Towne,['USA']
James Bridges,['USA']
Alvin Sargent,['USA']
"Waldo Salt, Norman Wexler","['USA', 'USA']"
Art Carney,['USA']
Fred Astaire,['USA']
Robert De Niro,['USA']
Michael V. Gazzo,['USA']
Lee Strasberg,['Austria-Hungary']
Diahann Carroll,['USA']
Valerie Perrine,['USA']
Gena Rowlands,['USA']
Valentina Cortese,['Italy']
Diane Ladd,['USA']
Talia Shire,['USA']
Francois Truffaut,['France']
"Mordecai Richler, Lionel Chetwynd","['Canada', 'UK']"
"Francis Ford Coppola, Mario Puzo","['USA', 'USA']"
Julian Barry,['USA']
Paul Dehn,['UK']
"Gene Wilder, Mel Brooks","['USA', 'USA']"
George Burns,['USA']
Brad Dourif,['USA']
Burgess Meredith,['USA']
Chris Sarandon,['USA']
Jack Warden,['USA']
Isabelle Adjani,['France']
Louise Fletcher,['USA']
Carol Kane,['USA']
Ronee Blakley,['USA']
Lily Tomlin,['USA']
Brenda Vaccaro,['USA']
Milos Forman,['Czech Republic']
"John Huston, Gladys Hill","['USA', 'USA']"
"Lawrence Hauben, Bo Goldman","['USA', 'USA']"
"Ruggero Maccari, Dino Risi","['Italy', 'Italy']"
Giancarlo Giannini,['Italy']
Sylvester Stallone,['USA']
Ned Beatty,['USA']
Jason Robards,['USA']
Burt Young,['USA']
Marie-Christine Barrault,['France']
Sissy Spacek,['USA']
Jodie Foster,['USA']
Beatrice Straight,['USA']
Alan J. Pakula,['USA']
John G. Avildsen,['USA']
Lina Wertmüller,['Italy']
William Goldman,['USA']
Robert Getchell,['USA']
"Federico Fellini, Bernardino Zapponi","['Italy', 'Italy']"
Nicholas Meyer,['USA']
"Steve Shagan, David Butler","['USA', 'USA']"
Woody Allen,['USA']
Richard Dreyfuss,['USA']
John Travolta,['USA']
Mikhail Baryshnikov,['Latvia']
Peter Firth,['UK']
Diane Keaton,['USA']
Leslie Browne,['USA']
Quinn Cummings,['USA']
Melinda Dillon,['USA']
Tuesday Weld,['USA']
Steven Spielberg,['USA']
Herbert Ross,['USA']
Peter Shaffer,['UK']
"Gavin Lambert, Lewis John Carlino","['UK', 'USA']"
Larry Gelbart,['USA']
"Luis Buñuel, Jean-Claude Carrière","['Spain', 'France']"
Gary Busey,['USA']
Bruce Dern,['USA']
Richard Farnsworth,['USA']
John Hurt,['UK']
Christopher Walken,['USA']
Jill Clayburgh,['USA']
Penelope Milford,['USA']
Meryl Streep,['USA']
Hal Ashby,['USA']
Michael Cimino,['USA']
"Warren Beatty, Buck Henry","['USA', 'USA']"
Alan Parker,['UK']
Walter Newman,['USA']
"Elaine May, Warren Beatty","['USA', 'USA']"
Oliver Stone,['USA']
Bernard Slade,['Canada']
Frederic Forrest,['USA']
Justin Henry,['USA']
Sally Field,['USA']
Bette Midler,['USA']
Barbara Barrie,['USA']
Candice Bergen,['USA']
Mariel Hemingway,['USA']
Francis Coppola,['USA']
Peter Yates,['UK']
Robert Benton,['USA']
Edouard Molinaro,['France']
"John Milius, Francis Coppola","['USA', 'USA']"
"Francis Veber, Edouard Molinaro, Marcello Danon, Jean Poiret","['France', 'France', 'Bulgaria', 'France']"
Allan Burns,['USA']
Judd Hirsch,['USA']
Timothy Hutton,['USA']
Michael O'Keefe,['USA']
Joe Pesci,['USA']
Mary Tyler Moore,['USA']
Eileen Brennan,['USA']
Eva Le Gallienne,['UK']
Cathy Moriarty,['USA']
Diana Scarwid,['USA']
Mary Steenburgen,['USA']
David Lynch,['USA']
Martin Scorsese,['USA']
Richard Rush,['USA']
"Jonathan Hardy, David Stevens, Bruce Beresford","['New Zealand', 'USA', 'Australia']"
Tom Rickman,['USA']
"Christopher DeVore, Eric Bergren, David Lynch","['USA', 'USA', 'USA']"
"Lawrence B. Marcus, Richard Rush","['USA', 'USA']"
Dudley Moore,['UK']
James Coco,['USA']
Ian Holm,['UK']
Howard E. Rollins Jr.,['USA']
Susan Sarandon,['USA']
Joan Hackett,['USA']
Elizabeth McGovern,['USA']
Louis Malle,['France']
Hugh Hudson,['UK']
Mark Rydell,['USA']
Harold Pinter,['UK']
Ernest Thompson,['USA']
Dennis Potter,['UK']
"Jay Presson Allen, Sidney Lumet","['USA', 'USA']"
Michael Weller,['USA']
Ben Kingsley,['UK']
Charles Durning,['USA']
Louis Gossett Jr.,['USA']
John Lithgow,['USA']
Robert Preston,['USA']
Jessica Lange,['USA']
Debra Winger,['USA']
Glenn Close,['USA']
Teri Garr,['USA']
Lesley Ann Warren,['USA']
Wolfgang Petersen,['Germany']
Richard Attenborough,['UK']
"Costa-Gavras, Donald Stewart","['Greece', 'USA']"
David Mamet,['USA']
Blake Edwards,['USA']
Tom Conti,['UK']
Sam Shepard,['USA']
Rip Torn,['USA']
Julie Walters,['UK']
Cher,['USA']
Linda Hunt,['USA']
Amy Irving,['USA']
Alfre Woodard,['USA']
Bruce Beresford,['Australia']
James L. Brooks,['USA']
Ronald Harwood,['South Africa']
Willy Russell,['UK']
F. Murray Abraham,['USA']
Tom Hulce,['USA']
Sam Waterston,['USA']
Adolph Caesar,['USA']
John Malkovich,['USA']
Noriyuki 'Pat' Morita,['USA']
Haing S. Ngor,['Cambodia']
Judy Davis,['Australia']
Peggy Ashcroft,['UK']
Lindsay Crouse,['USA']
Christine Lahti,['USA']
Roland Joffé,['UK']
"P.H. Vazak, Michael Austin","['USA', 'USA']"
Bruce Robinson,['UK']
Charles Fuller,['USA']
Harrison Ford,['USA']
James Garner,['USA']
William Hurt,['USA']
Don Ameche,['USA']
Klaus Maria Brandauer,['Austria']
William Hickey,['USA']
Robert Loggia,['USA']
Eric Roberts,['USA']
Whoopi Goldberg,['USA']
Margaret Avery,['USA']
Anjelica Huston,['USA']
Amy Madigan,['USA']
Meg Tilly,['USA']
Oprah Winfrey,['USA']
Hector Babenco,['Argentina']
Akira Kurosawa,['Japan']
Peter Weir,['Australia']
Menno Meyjes,['Netherlands']
Leonard Schrader,['USA']
Kurt Luedtke,['USA']
"Richard Condon, Janet Roach","['USA', 'Australia']"
Dexter Gordon,['USA']
Bob Hoskins,['UK']
James Woods,['USA']
Tom Berenger,['USA']
Willem Dafoe,['USA']
Denholm Elliott,['UK']
Dennis Hopper,['USA']
Marlee Matlin,['USA']
Kathleen Turner,['USA']
Sigourney Weaver,['USA']
Tess Harper,['USA']
Mary Elizabeth Mastrantonio,['USA']
Dianne Wiest,['USA']
James Ivory,['USA']
"Hesper Anderson, Mark Medoff","['USA', 'USA']"
Richard Price,['USA']
Beth Henley,['USA']
Ruth Prawer Jhabvala,['Germany']
"Raynold Gideon, Bruce A. Evans","['Canada', 'USA']"
Michael Douglas,['USA']
Robin Williams,['USA']
Albert Brooks,['USA']
Sean Connery,['UK']
Morgan Freeman,['USA']
Denzel Washington,['USA']
Holly Hunter,['USA']
Sally Kirkland,['USA']
Norma Aleandro,['Argentina']
Anne Archer,['USA']
Olympia Dukakis,['USA']
Anne Ramsey,['USA']
Ann Sothern,['USA']
Adrian Lyne,['UK']
Lasse Hallström,['Sweden']
Tony Huston,['USA']
James Dearden,['UK']
"Stanley Kubrick, Michael Herr, Gustav Hasford","['USA', 'USA', 'USA']"
"Mark Peploe, Bernardo Bertolucci","['Kenya', 'Italy']"
"Lasse Hallström, Reidar Jönsson, Brasse Brännström, Per Berglund","['Sweden', 'Sweden', 'Sweden', 'Sweden']"
Tom Hanks,['USA']
Edward James Olmos,['USA']
Max von Sydow,['Sweden']
Kevin Kline,['USA']
Martin Landau,['USA']
River Phoenix,['USA']
Dean Stockwell,['USA']
Melanie Griffith,['USA']
Joan Cusack,['USA']
Geena Davis,['USA']
Frances McDormand,['USA']
Michelle Pfeiffer,['USA']
Charles Crichton,['UK']
Barry Levinson,['USA']
"Frank Galati, Lawrence Kasdan","['USA', 'USA']"
Christopher Hampton,['Portugal']
"Anna Hamilton Phelan, Tab Murphy","['USA', 'USA']"
Christine Edzard,['France']
"Jean-Claude Carrière, Philip Kaufman","['France', 'USA']"
Kenneth Branagh,['UK']
Tom Cruise,['USA']
Daniel Day Lewis,['UK']
Danny Aiello,['USA']
Dan Aykroyd,['Canada']
Pauline Collins,['UK']
Jessica Tandy,['UK']
Brenda Fricker,['Ireland']
Lena Olin,['Sweden']
Julia Roberts,['USA']
Jim Sheridan,['Ireland']
"Oliver Stone, Ron Kovic","['USA', 'USA']"
Alfred Uhry,['USA']
"Roger L. Simon, Paul Mazursky","['USA', 'USA']"
Phil Alden Robinson,['USA']
"Jim Sheridan, Shane Connaughton","['Ireland', 'Ireland']"
Kevin Costner,['USA']
Gerard Depardieu,['France']
Jeremy Irons,['UK']
Bruce Davison,['USA']
Andy Garcia,['Cuba']
Kathy Bates,['USA']
Annette Bening,['USA']
Lorraine Bracco,['USA']
Mary McDonnell,['USA']
Stephen Frears,['UK']
Barbet Schroeder,['Iran']
Steven Zaillian,['USA']
Michael Blake,['USA']
"Nicholas Pileggi, Martin Scorsese","['USA', 'USA']"
Donald E. Westlake,['USA']
Nicholas Kazan,['USA']
Anthony Hopkins,['UK']
Nick Nolte,['USA']
Tommy Lee Jones,['USA']
Harvey Keitel,['USA']
Michael Lerner,['USA']
Laura Dern,['USA']
Juliette Lewis,['USA']
Kate Nelligan,['Canada']
Mercedes Ruehl,['USA']
John Singleton,['USA']
Jonathan Demme,['USA']
Ridley Scott,['UK']
Agnieszka Holland,['Poland']
"Fannie Flagg, Carol Sobieski","['USA', 'USA']"
"Oliver Stone, Zachary Sklar","['USA', 'USA']"
"Pat Conroy, Becky Johnston","['USA', 'USA']"
Ted Tally,['USA']
Robert Downey Jr.,['USA']
Clint Eastwood,['USA']
Stephen Rea,['UK']
Jaye Davidson,['USA']
David Paymer,['USA']
Catherine Deneuve,['France']
Emma Thompson,['UK']
Joan Plowright,['UK']
Miranda Richardson,['UK']
Marisa Tomei,['USA']
Neil Jordan,['Ireland']
Martin Brest,['USA']
Peter Barnes,['UK']
Michael Tolkin,['USA']
Richard Friedenberg,['USA']
Bo Goldman,['USA']
Daniel Day-Lewis,['UK']
Laurence Fishburne,['USA']
Liam Neeson,['UK']
Leonardo DiCaprio,['USA']
Ralph Fiennes,['UK']
Pete Postlethwaite,['UK']
Angela Bassett,['USA']
Stockard Channing,['USA']
Anna Paquin,['Canada']
Rosie Perez,['USA']
Winona Ryder,['USA']
Jane Campion,['New Zealand']
"Jay Cocks, Martin Scorsese","['USA', 'USA']"
"Terry George, Jim Sheridan","['UK', 'Ireland']"
William Nicholson,['UK']
Nigel Hawthorne,['UK']
Samuel L. Jackson,['USA']
Chazz Palminteri,['USA']
Gary Sinise,['USA']
Rosemary Harris,['UK']
Helen Mirren,['UK']
Uma Thurman,['USA']
Jennifer Tilly,['USA']
Robert Zemeckis,['USA']
Quentin Tarantino,['USA']
Krzysztof Kieslowski,['Poland']
Eric Roth,['USA']
Alan Bennett,['UK']
Paul Attanasio,['USA']
Frank Darabont,['France']
Nicolas Cage,['USA']
Sean Penn,['USA']
Massimo Troisi,['Italy']
James Cromwell,['USA']
Ed Harris,['USA']
Brad Pitt,['USA']
Tim Roth,['UK']
Kevin Spacey,['USA']
Elisabeth Shue,['USA']
Sharon Stone,['USA']
Joan Allen,['USA']
Kathleen Quinlan,['USA']
Mira Sorvino,['USA']
Mare Winningham,['USA']
Kate Winslet,['UK']
Chris Noonan,['Australia']
Mel Gibson,['USA']
Tim Robbins,['USA']
Mike Figgis,['UK']
Michael Radford,['India']
"William Broyles Jr., Al Reinert","['USA', 'Japan']"
"George Miller, Chris Noonan","['Australia', 'Australia']"
"Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi","['Italy', 'India', 'Italy', 'Italy', 'Italy']"
Woody Harrelson,['USA']
Geoffrey Rush,['Australia']
Billy Bob Thornton,['USA']
Cuba Gooding Jr.,['USA']
William H. Macy,['USA']
Armin Mueller-Stahl,['Russia']
Edward Norton,['USA']
Brenda Blethyn,['UK']
Kristin Scott Thomas,['UK']
Emily Watson,['UK']
Lauren Bacall,['USA']
Juliette Binoche,['France']
Barbara Hershey,['USA']
Marianne Jean-Baptiste,['UK']
Anthony Minghella,['UK']
Joel Coen,['USA']
Mike Leigh,['UK']
Scott Hicks,['Uganda']
Arthur Miller,['USA']
John Hodge,['UK']
Matt Damon,['USA']
Peter Fonda,['USA']
Robert Forster,['USA']
Greg Kinnear,['USA']
Burt Reynolds,['USA']
Helena Bonham Carter,['UK']
Judi Dench,['UK']
Helen Hunt,['USA']
Kim Basinger,['USA']
Minnie Driver,['UK']
Julianne Moore,['USA']
Gloria Stuart,['USA']
Peter Cattaneo,['UK']
Gus Van Sant,['USA']
Curtis Hanson,['USA']
Atom Egoyan,['Egypt']
James Cameron,['Canada']
"Brian Helgeland, Curtis Hanson","['USA', 'USA']"
"Hilary Henkin, David Mamet","['USA', 'USA']"
Hossein Amini,['Iran']
Roberto Benigni,['Italy']
Ian McKellen,['UK']
James Coburn,['USA']
Cate Blanchett,['Australia']
Fernanda Montenegro,['Brazil']
Gwyneth Paltrow,['USA']
Rachel Griffiths,['Australia']
John Madden,['UK']
Terrence Malick,['USA']
Bill Condon,['USA']
Scott Frank,['USA']
Elaine May,['USA']
Scott B. Smith,['USA']
Russell Crowe,['New Zealand']
Michael Clarke Duncan,['USA']
Jude Law,['UK']
Haley Joel Osment,['USA']
Janet McTeer,['UK']
Hilary Swank,['USA']
Toni Collette,['Australia']
Angelina Jolie,['USA']
Catherine Keener,['USA']
Samantha Morton,['UK']
Chloë Sevigny,['USA']
Sam Mendes,['UK']
Spike Jonze,['USA']
Michael Mann,['USA']
M. Night Shyamalan,['India']
John Irving,['USA']
"Alexander Payne, Jim Taylor","['USA', 'USA']"
"Eric Roth, Michael Mann","['USA', 'USA']"
Javier Bardem,['Spain']
Benicio Del Toro,['Puerto Rico']
Joaquin Phoenix,['Puerto Rico']
Laura Linney,['USA']
Marcia Gay Harden,['USA']
Kate Hudson,['USA']
Stephen Daldry,['UK']
Ang Lee,['Taiwan']
Steven Soderbergh,['USA']
Robert Nelson Jacobs,['USA']
"Wang Hui Ling, James Schamus, Tsai Kuo Jung","['Taiwan', 'USA', 'Taiwan']"
"Ethan Coen, Joel Coen","['USA', 'USA']"
Stephen Gaghan,['USA']
Steve Kloves,['USA']
Will Smith,['USA']
Tom Wilkinson,['UK']
Jim Broadbent,['UK']
Ethan Hawke,['USA']
Halle Berry,['USA']
Nicole Kidman,['USA']
Renée Zellweger,['USA']
Jennifer Connelly,['USA']
Ron Howard,['USA']
Peter Jackson,['New Zealand']
Akiva Goldsman,['USA']
"Daniel Clowes, Terry Zwigoff","['USA', 'USA']"
"Rob Festinger, Todd Field","['USA', 'USA']"
"Fran Walsh, Philippa Boyens, Peter Jackson","['New Zealand', 'New Zealand', 'New Zealand']"
"Ted Elliott, Terry Rossio, Joe Stillman, Roger S.H. Schulman","['USA', 'USA', 'USA', 'USA']"
Adrien Brody,['USA']
Chris Cooper,['USA']
John C. Reilly,['USA']
Salma Hayek,['Mexico']
Diane Lane,['USA']
Queen Latifah,['USA']
Catherine Zeta-Jones,['UK']
Rob Marshall,['USA']
Pedro Almodóvar,['Spain']
"Peter Hedges, Chris Weitz, Paul Weitz","['USA', 'USA', 'USA']"
"Charlie Kaufman, Donald Kaufman","['USA', 'USA']"
David Hare,['UK']
Johnny Depp,['USA']
Bill Murray,['USA']
Alec Baldwin,['USA']
Djimon Hounsou,['Benin']
Ken Watanabe,['Japan']
Keisha Castle-Hughes,['Australia']
Charlize Theron,['South Africa']
Naomi Watts,['UK']
Shohreh Aghdashloo,['Iran']
Patricia Clarkson,['USA']
Fernando Meirelles,['Brazil']
Sofia Coppola,['USA']
"Robert Pulcini, Shari Springer Berman","['USA', 'USA']"
Braulio Mantovani,['Brazil']
Brian Helgeland,['USA']
Gary Ross,['USA']
Don Cheadle,['USA']
Jamie Foxx,['USA']
Alan Alda,['USA']
Thomas Haden Church,['USA']
Clive Owen,['UK']
Catalina Sandino Moreno,['Colombia']
Imelda Staunton,['UK']
Virginia Madsen,['USA']
Sophie Okonedo,['UK']
Natalie Portman,['Israel']
Taylor Hackford,['USA']
Alexander Payne,['USA']
"Richard Linklater, Julie Delpy, Ethan Hawke, Kim Krizan","['USA', 'France', 'USA', 'USA']"
David Magee,['USA']
Paul Haggis,['Canada']
José Rivera,['Puerto Rico']
Philip Seymour Hoffman,['USA']
Terrence Howard,['USA']
Heath Ledger,['Australia']
David Strathairn,['USA']
George Clooney,['USA']
Matt Dillon,['USA']
Paul Giamatti,['USA']
Jake Gyllenhaal,['USA']
Felicity Huffman,['USA']
Keira Knightley,['UK']
Reese Witherspoon,['USA']
Amy Adams,['Italy']
Rachel Weisz,['UK']
Michelle Williams,['USA']
Bennett Miller,['USA']
"Larry McMurtry, Diana Ossana","['USA', 'USA']"
Dan Futterman,['USA']
Jeffrey Caine,['UK']
Josh Olson,['USA']
"Tony Kushner, Eric Roth","['USA', 'USA']"
Ryan Gosling,['Canada']
Forest Whitaker,['USA']
Jackie Earle Haley,['USA']
Eddie Murphy,['USA']
Mark Wahlberg,['USA']
Penélope Cruz,['Spain']
Adriana Barraza,['Mexico']
Abigail Breslin,['USA']
Jennifer Hudson,['USA']
Rinko Kikuchi,['Japan']
Alejandro González Iñárritu,['Mexico']
Paul Greengrass,['UK']
"Sacha Baron Cohen, Anthony Hines, Peter Baynham, Dan Mazer, Todd Phillips","['UK', 'USA', 'UK', 'UK', 'USA']"
"Alfonso Cuarón, Timothy J. Sexton, David Arata, Mark Fergus, Hawk Ostby","['Mexico', 'USA', 'USA', 'USA', 'India']"
William Monahan,['USA']
"Todd Field, Tom Perrotta","['USA', 'USA']"
Patrick Marber,['UK']
Viggo Mortensen,['USA']
Casey Affleck,['USA']
Hal Holbrook,['USA']
Marion Cotillard,['France']
Elliot Page,['Canada']
Ruby Dee,['USA']
Saoirse Ronan,['USA']
Amy Ryan,['USA']
Tilda Swinton,['UK']
Julian Schnabel,['USA']
Jason Reitman,['Canada']
Tony Gilroy,['USA']
"Joel Coen, Ethan Coen","['USA', 'USA']"
Paul Thomas Anderson,['USA']
Sarah Polley,['Canada']
Richard Jenkins,['USA']
Frank Langella,['USA']
Mickey Rourke,['USA']
Josh Brolin,['USA']
Michael Shannon,['USA']
Anne Hathaway,['USA']
Melissa Leo,['USA']
Viola Davis,['USA']
Taraji P. Henson,['USA']
David Fincher,['USA']
Danny Boyle,['UK']
"Eric Roth, Robin Swicord","['USA', 'USA']"
John Patrick Shanley,['USA']
Peter Morgan,['UK']
Simon Beaufoy,['UK']
Colin Firth,['UK']
Jeremy Renner,['USA']
Christopher Plummer,['Canada']
Stanley Tucci,['USA']
Christoph Waltz,['Austria']
Sandra Bullock,['USA']
Carey Mulligan,['UK']
Gabourey Sidibe,['USA']
Vera Farmiga,['USA']
Maggie Gyllenhaal,['USA']
Anna Kendrick,['USA']
Mo'Nique,['USA']
Kathryn Bigelow,['USA']
Lee Daniels,['USA']
"Neill Blomkamp, Terri Tatchell","['South Africa', 'Canada']"
Nick Hornby,['UK']
"Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche","['UK', 'UK', 'UK', 'UK']"
Geoffrey Fletcher,['USA']
"Jason Reitman, Sheldon Turner","['Canada', 'USA']"
Jesse Eisenberg,['USA']
James Franco,['USA']
Christian Bale,['UK']
John Hawkes,['USA']
Mark Ruffalo,['USA']
Jennifer Lawrence,['USA']
Hailee Steinfeld,['USA']
Jacki Weaver,['Australia']
Darren Aronofsky,['USA']
David O. Russell,['USA']
Tom Hooper,['UK']
"Danny Boyle, Simon Beaufoy","['UK', 'UK']"
Aaron Sorkin,['USA']
"Michael Arndt, John Lasseter, Andrew Stanton, Lee Unkrich","['USA', 'USA', 'USA', 'USA']"
"Debra Granik, Anne Rosellini","['USA', 'USA']"
Demián Bichir,['Mexico']
Jean Dujardin,['France']
Gary Oldman,['UK']
Jonah Hill,['USA']
Rooney Mara,['USA']
Bérénice Bejo,['Argentina']
Jessica Chastain,['USA']
Melissa McCarthy,['USA']
Octavia Spencer,['USA']
Michel Hazanavicius,['France']
"Alexander Payne, Nat Faxon, Jim Rash","['USA', 'USA', 'USA']"
John Logan,['USA']
"George Clooney, Grant Heslov, Beau Willimon","['USA', 'USA', 'USA']"
"Steven Zaillian, Aaron Sorkin, Stan Chervin","['USA', 'USA', 'USA']"
"Bridget O'Connor, Peter Straughan","['UK', 'UK']"
Bradley Cooper,['USA']
Hugh Jackman,['Australia']
Emmanuelle Riva,['France']
Quvenzhané Wallis,['USA']
Michael Haneke,['Germany']
Benh Zeitlin,['USA']
Chris Terrio,['USA']
"Lucy Alibar, Benh Zeitlin","['USA', 'USA']"
Tony Kushner,['USA']
Chiwetel Ejiofor,['UK']
Matthew McConaughey,['USA']
Barkhad Abdi,['Somalia']
Michael Fassbender,['Germany']
Jared Leto,['USA']
Sally Hawkins,['UK']
Lupita Nyong'o,['Mexico']
June Squibb,['USA']
Alfonso Cuarón,['Mexico']
"Richard Linklater, Julie Delpy, Ethan Hawke","['USA', 'France', 'USA']"
Billy Ray,['USA']
"Steve Coogan, Jeff Pope","['UK', 'UK']"
John Ridley,['USA']
Terence Winter,['USA']
Steve Carell,['USA']
Benedict Cumberbatch,['UK']
Michael Keaton,['USA']
Eddie Redmayne,['UK']
J.K. Simmons,['USA']
Felicity Jones,['UK']
Rosamund Pike,['UK']
Patricia Arquette,['USA']
Emma Stone,['USA']
Alejandro G. Iñárritu,['Mexico']
Richard Linklater,['USA']
Wes Anderson,['USA']
Morten Tyldum,['Norway']
Jason Hall,['USA']
Graham Moore,['USA']
Anthony McCarten,['New Zealand']
Damien Chazelle,['USA']
Bryan Cranston,['USA']
Tom Hardy,['UK']
Mark Rylance,['UK']
Brie Larson,['USA']
Charlotte Rampling,['UK']
Jennifer Jason Leigh,['USA']
Rachel McAdams,['Canada']
Alicia Vikander,['Sweden']
Adam McKay,['USA']
George Miller,['Australia']
Lenny Abrahamson,['Ireland']
Tom McCarthy,['USA']
"Charles Randolph, Adam McKay","['USA', 'USA']"
Phyllis Nagy,['USA']
Drew Goddard,['USA']
Emma Donoghue,['Ireland']
Andrew Garfield,['USA']
Mahershala Ali,['USA']
Lucas Hedges,['USA']
Dev Patel,['UK']
Isabelle Huppert,['France']
Ruth Negga,['Ethiopia']
Naomie Harris,['UK']
Denis Villeneuve,['Canada']
Kenneth Lonergan,['USA']
Barry Jenkins,['USA']
Eric Heisserer,['USA']
August Wilson,['USA']
"Allison Schroeder, Theodore Melfi","['USA', 'USA']"
Luke Davies,['Australia']
"Barry Jenkins, Tarell Alvin McCraney","['USA', 'USA']"
Timothée Chalamet,['USA']
Daniel Kaluuya,['UK']
Sam Rockwell,['USA']
Margot Robbie,['Australia']
Mary J. Blige,['USA']
Allison Janney,['USA']
Lesley Manville,['UK']
Laurie Metcalf,['USA']
Christopher Nolan,['UK']
Jordan Peele,['USA']
Greta Gerwig,['USA']
Guillermo del Toro,['Mexico']
"Scott Neustadter, Michael H. Weber","['USA', 'USA']"
"Scott Frank, James Mangold, Michael Green","['USA', 'USA', 'USA']"
"Virgil Williams, Dee Rees","['USA', 'USA']"
Rami Malek,['USA']
Adam Driver,['USA']
Sam Elliott,['USA']
Richard E. Grant,['Eswatini']
Yalitza Aparicio,['México']
Olivia Colman,['UK']
Lady Gaga,['USA']
Marina de Tavira,['Mexico']
Regina King,['USA']
Spike Lee,['USA']
Pawel Pawlikowski,['Poland']
Yorgos Lanthimos,['Greece']
"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee","['USA', 'USA', 'USA', 'USA']"
"Nicole Holofcener, Jeff Whitty","['USA', 'USA']"
"Eric Roth, Bradley Cooper, Will Fetters","['USA', 'USA', 'USA']"
Antonio Banderas,['Spain']
Jonathan Pryce,['UK']
Cynthia Erivo,['UK']
Scarlett Johansson,['USA']
Florence Pugh,['UK']
Todd Phillips,['USA']
Bong Joon Ho,['South Korea']
Taika Waititi,['New Zealand']
"Todd Phillips, Scott Silver","['USA', 'USA']"
Riz Ahmed,['UK']
Chadwick Boseman,['USA']
Steven Yeun,['South Korea']
Sacha Baron Cohen,['UK']
Leslie Odom Jr.,['USA']
Paul Raci,['USA']
Lakeith Stanfield,['USA']
Andra Day,['USA']
Vanessa Kirby,['UK']
Maria Bakalova,['Bulgarian']
Amanda Seyfried,['USA']
Yuh-Jung Youn,['Korea']
Thomas Vinterberg,['Denmark']
Lee Isaac Chung,['USA']
Chloé Zhao,['China']
Emerald Fennell,['UK']
"Sacha Baron Cohen, Anthony Hines, Dan Swimer, Peter Baynham, Erica Rivinoja, Dan Mazer, Jena Friedman, Lee Kern, Nina Pedrad","['UK', 'UK', 'UK', 'UK', 'USA', 'UK', 'USA', 'UK', 'USA']"
"Christopher Hampton, Florian Zeller","['Portugal', 'France']"
Kemp Powers,['USA']
Ramin Bahrani,['USA']
Ciarán Hinds,['UK']
Troy Kotsur,['USA']
Jesse Plemons,['USA']
Kodi Smit-McPhee,['Australia']
Kristen Stewart,['USA']
Jessie Buckley,['Ireland']
Ariana DeBose,['USA']
Kirsten Dunst,['USA']
Aunjanue Ellis,['USA']
Ryusuke Hamaguchi,['Japan']
Siân Heder,['USA']
"Ryusuke Hamaguchi, Takamasa Oe","['Japan', 'Japan']"
"Jon Spaihts, Denis Villeneuve, Eric Roth","['USA', 'Canada', 'USA']"
Austin Butler,['USA']
Colin Farrell,['Ireland']
Brendan Fraser,['USA']
Paul Mescal,['Republic of Ireland']
Bill Nighy,['UK']
Brendan Gleeson,['Ireland']
Brian Tyree Henry,['USA']
Barry Keoghan,['Ireland']
Ke Huy Quan,['Vietnam']
Ana de Armas,['Cuba']
Andrea Riseborough,['UK']
Michelle Yeoh,['Malaysia']
Hong Chau,['Thailand']
Kerry Condon,['Ireland']
Jamie Lee Curtis,['USA']
Stephanie Hsu,['USA']
Martin McDonagh,['UK']
"Daniel Kwan, Daniel Scheinert","['USA', 'USA']"
Todd Field,['USA']
Ruben Östlund,['Sweden']
"Screenplay - Edward Berger, Lesley Paterson, Ian Stokell","['Germany', 'UK', 'UK']"
